Object_0= x:388; y:344; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_28= x:461; y:493; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_29= x:461; y:493; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_30= x:478; y:495; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_31= x:479; y:495; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_32= x:483; y:497; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_33= x:484; y:497; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_34= x:486; y:497; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_35= x:488; y:493; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_36= x:488; y:392; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_37= x:487; y:392; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_38= x:487; y:393; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_39= x:487; y:418; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_40= x:475; y:421; width:40; height:40; imagePath:icons8_Instagram_50px.png;
Object_41= x:639; y:363; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_42= x:638; y:363; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_43= x:581; y:368; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_44= x:583; y:407; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_45= x:595; y:431; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_46= x:642; y:436; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_47= x:654; y:436; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_48= x:661; y:436; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_49= x:666; y:440; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_50= x:667; y:456; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_51= x:586; y:516; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_52= x:568; y:521; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_53= x:542; y:521; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_54= x:540; y:521; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_55= x:808; y:350; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_56= x:808; y:351; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_57= x:812; y:425; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_58= x:813; y:442; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_59= x:813; y:450; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_60= x:815; y:460; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_61= x:816; y:469; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_62= x:816; y:476; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_63= x:816; y:480; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_64= x:816; y:484; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_65= x:817; y:490; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_66= x:818; y:497; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_67= x:762; y:352; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_68= x:763; y:352; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_69= x:789; y:349; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_70= x:806; y:346; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_71= x:822; y:345; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_72= x:840; y:343; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_73= x:849; y:343; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_74= x:865; y:343; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_75= x:878; y:342; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_76= x:881; y:342; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_77= x:807; y:363; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_78= x:807; y:387; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_79= x:806; y:413; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_80= x:806; y:415; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_81= x:722; y:364; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_82= x:722; y:363; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_83= x:733; y:360; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_84= x:742; y:357; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_85= x:756; y:355; width:40; height:40; imagePath:icons8_Contacts_50px.png;
Object_86= x:761; y:354; width:40; height:40; imagePath:icons8_Contacts_50px.png;
