Object_0=x:93; y:105; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_48=x:373; y:236; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_49=x:393; y:225; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_50=x:425; y:201; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_51=x:438; y:191; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_52=x:439; y:190; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_53=x:440; y:189; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_54=x:440; y:187; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_55=x:440; y:186; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_56=x:440; y:183; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_57=x:441; y:176; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_58=x:441; y:170; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_59=x:437; y:162; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_60=x:429; y:151; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_61=x:408; y:134; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_62=x:376; y:117; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_63=x:369; y:113; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_64=x:367; y:112; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_65=x:367; y:111; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_66=x:366; y:109; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_67=x:365; y:108; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_68=x:362; y:105; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_69=x:361; y:102; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_70=x:359; y:101; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_71=x:480; y:210; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_72=x:481; y:210; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_73=x:489; y:163; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_74=x:493; y:150; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_75=x:505; y:113; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_76=x:507; y:106; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_77=x:508; y:104; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_78=x:510; y:97; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_79=x:514; y:91; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_80=x:515; y:88; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_81=x:516; y:86; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_82=x:517; y:86; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_83=x:533; y:96; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_84=x:549; y:116; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_85=x:570; y:152; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_86=x:585; y:180; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_87=x:594; y:200; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_88=x:598; y:208; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_89=x:598; y:210; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_90=x:599; y:211; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_91=x:502; y:169; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_92=x:503; y:169; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_93=x:523; y:172; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_94=x:529; y:172; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_95=x:533; y:171; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_96=x:543; y:168; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_97=x:547; y:167; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_98=x:549; y:167; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_99=x:550; y:166; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_100=x:670; y:105; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_101=x:670; y:106; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_102=x:694; y:182; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_103=x:702; y:217; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_104=x:704; y:228; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_105=x:704; y:230; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_106=x:704; y:231; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_107=x:688; y:114; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_108=x:688; y:113; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_109=x:798; y:98; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_110=x:813; y:99; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_111=x:820; y:103; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_112=x:828; y:116; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_113=x:838; y:169; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_114=x:838; y:182; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_115=x:798; y:201; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_116=x:761; y:213; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_117=x:756; y:217; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_118=x:733; y:224; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_119=x:729; y:225; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_120=x:725; y:225; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_121=x:722; y:225; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_122=x:704; y:103; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_123=x:705; y:103; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_124=x:724; y:94; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_125=x:734; y:91; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_126=x:743; y:91; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_127=x:761; y:91; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_128=x:772; y:91; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_129=x:774; y:91; width:40; height:40; imagePath:icons8_Coins_48px.png;
Object_130=x:131; y:212; width:40; height:40; imagePath:icons8_Facebook_Like_50px.png;
Object_131=x:132; y:212; width:40; height:40; imagePath:icons8_Facebook_Like_50px.png;
Object_132=x:164; y:215; width:40; height:40; imagePath:icons8_Facebook_Like_50px.png;
Object_133=x:173; y:215; width:40; height:40; imagePath:icons8_Facebook_Like_50px.png;
Object_134=x:178; y:215; width:40; height:40; imagePath:icons8_Facebook_Like_50px.png;
Object_135=x:184; y:215; width:40; height:40; imagePath:icons8_Facebook_Like_50px.png;
Object_136=x:188; y:214; width:40; height:40; imagePath:icons8_Facebook_Like_50px.png;
Object_137=x:192; y:214; width:40; height:40; imagePath:icons8_Facebook_Like_50px.png;
Object_138=x:195; y:213; width:40; height:40; imagePath:icons8_Facebook_Like_50px.png;
Object_139=x:197; y:213; width:40; height:40; imagePath:icons8_Facebook_Like_50px.png;
Object_140=x:294; y:342; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_141=x:294; y:343; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_142=x:305; y:438; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_143=x:306; y:458; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_144=x:306; y:462; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_145=x:225; y:330; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_146=x:225; y:330; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_147=x:348; y:343; width:40; height:40; imagePath:icons8_Handshake_50px.png;
Object_148=x:306; y:384; width:40; height:40; imagePath:icons8_Idea_50px_1.png;
Object_149=x:252; y:326; width:40; height:40; imagePath:icons8_Idea_50px_1.png;
Object_150=x:388; y:344; width:40; height:40; imagePath:icons8_Idea_50px_1.png;
